ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
688556.SH,20260127,11.3623,1.07,,3.3382,3.7504,0.7555,1302653.5285,1302653.5285
001389.SZ,20260127,10.4368,0.9,49.6888,12.3808,9.223,0.4527,4508882.0,1601065.0805
600841.SH,20260127,10.049,1.36,,4.0811,2.3889,,1290674.2591,970012.7701
300968.SZ,20260127,1.9815,0.92,242.0344,3.2115,4.757,0.3392,609322.12,609322.12
300634.SZ,20260127,8.6401,1.24,60.4272,4.797,7.8397,0.5136,1397851.3682,1346308.703
300295.SZ,20260127,3.7975,0.81,,2.165,24.8596,,244032.8499,215605.8179
688370.SH,20260127,9.6284,3.25,130.945,1.5072,7.1238,1.2397,398161.2806,127047.4329
301106.SZ,20260127,1.5607,0.8,34.6444,2.6037,3.6652,1.2203,333098.5918,333098.5918
300126.SZ,20260127,3.2643,0.44,,2.6365,5.8736,,275385.5856,190851.3498
920578.BJ,20260127,4.6839,1.13,307.3038,7.2399,9.0724,,194256.9064,58420.0
301093.SZ,20260127,6.6048,0.96,257.0419,5.9893,21.5248,0.194,1301954.6767,1244329.6146
600827.SH,20260127,1.1505,1.27,65.7005,0.8042,0.6352,2.9642,1595046.2966,1434378.2285
300718.SZ,20260127,3.9435,0.81,98.4809,14.5644,19.7137,0.4909,2439530.78,1582720.1994
600330.SH,20260127,5.839,0.56,739.0792,2.0119,5.4327,0.1659,1613332.2161,1613332.2161
300378.SZ,20260127,6.6619,0.92,101.8208,7.0131,6.7327,0.0507,1596996.3122,1585162.27
000708.SZ,20260127,0.3514,1.08,14.0463,1.9478,0.7384,4.5218,7893755.1198,7893755.1198
603501.SH,20260127,1.4486,0.82,37.709,4.9743,5.4816,0.4942,15679993.8159,15108135.0159
603399.SH,20260127,4.3614,0.96,,3.6172,1.1789,,599892.35,599892.35
301616.SZ,20260127,7.5665,1.0,22.1333,3.0949,4.5766,0.7241,441920.0,110480.0
603288.SH,20260127,0.2737,0.8,30.2438,5.2389,7.3664,3.1571,20721312.1267,19690086.5263
300158.SZ,20260127,4.8863,1.75,,1.6438,2.0382,,594389.5305,594020.1788
688017.SH,20260127,6.8506,1.4,445.2176,11.5555,78.1996,0.0452,4051595.7625,4051595.7625
002626.SZ,20260127,1.7665,0.98,25.1648,2.7412,3.4646,2.0111,1213160.2595,1212976.277
600816.SH,20260127,1.2761,1.17,457.7577,2.0852,,,2894267.7867,1607926.5482
688670.SH,20260127,9.6535,3.26,,2.4793,25.3353,,295310.4,295310.4
301179.SZ,20260127,1.7334,0.73,48.8429,2.9173,5.7385,1.5443,707713.2458,415634.5358
002909.SZ,20260127,4.0622,0.8,5434.3759,3.2545,2.5081,1.3201,292500.0,285320.5373
688638.SH,20260127,2.5779,0.94,,2.6738,3.9242,,228424.0,107934.5087
002043.SZ,20260127,1.6299,0.96,17.3975,3.9633,1.4084,3.8645,1273673.1268,1129946.8939
688563.SH,20260127,10.9255,1.39,60.7606,3.1784,11.9352,0.7233,3312450.0,861155.9775
000833.SZ,20260127,9.7568,0.79,35.8614,4.5722,6.1137,0.5483,1784632.9417,1009487.0079
600833.SH,20260127,3.0843,1.27,43.1585,2.5657,1.4282,1.6479,297820.2732,297820.2732
603680.SH,20260127,1.0437,1.18,24.5244,2.2577,2.4872,1.8999,1237491.9331,1237491.9331
002188.SZ,20260127,6.2482,0.85,83.2701,6.8077,5.5612,,220795.1082,173720.0297
000778.SZ,20260127,2.4554,0.9,48.686,0.7129,0.5143,0.4246,1866658.8562,1833888.1886
300636.SZ,20260127,4.3653,1.63,37.7685,1.5025,4.3257,0.4706,356958.7708,312254.0314
002952.SZ,20260127,2.6448,1.13,285.3257,4.0591,4.0673,0.2299,353002.32,282773.5287
601969.SH,20260127,2.6853,1.12,49.5778,3.3255,5.5058,0.9345,2341946.9502,2323321.5262
000411.SZ,20260127,3.6611,0.68,14.702,1.4243,0.2161,2.7592,724851.1188,471794.6827
603238.SH,20260127,1.6547,0.91,27.9801,2.3617,1.2622,1.5625,340817.28,340817.28
